date,name,website,status,employees,layoffs
2020-07-15,Oliver Sweeney Group,https://www.oliversweeney.com/,Administration,60,60
2020-07-8,Peter Jones,http://www.peterjonesonline.com/,Administration,-1,0
2020-07-10,Norville Group,https://www.norville.co.uk/,Purchased by https://inspecs.com/,162,0
2020-07-01,Go Outdoors,https://gooutdoors.co.uk,Administration,2400,0
2020-07-01,Lee Longlands,https://leelonglands.co.uk,Administration,107,0
2020-06-01,Oak Furnitureland,https://oakfurnitureland.co.uk,Purchased by Davidson Kempner,1491,0
2020-06-01,Le Pain Quotidien,https://lepaidquotidien.co.uk,Purchased by BrunchCo21,,200
2020-06-01,Monsoon,https://monsoon.co.uk,Layoffs,,545
2020-06-01,Victorias Secret,https://victoriassecret.co.uk,Administration,800,0
2020-06-08,British Petroleum,https://bp.com,Layoffs,,10000
2020-06-01,Centrica,,Layoffs,,5000
2020-06-01,Ovo Energy,,Layoffs,,2600
2020-06-01,Rolls Royce,,Layoffs,52000,3375
2020-06-01,Casual Dining Group,,Layoffs,,1900
2020-06-01,Swissport,,Layoffs,64000,4556
2020-06-01,British Airways,,Layoffs,42000,12000
2020-06-01,EasyJet,,Layoffs,15000,4500
2020-06-01,Virgin Atlantic,,Layoffs,,3000
2020-06-01,Reach plc,,Layoffs,4500,550
2020-06-01,Boots,,Layoffs,57000,4000
2020-06-01,John Lewis,,Layoffs,,1300
2020-06-01,Ryanair,,Layoffs,20000,3000
